"order_id","instrument_id","order_type","side","order_status_event","user_id","trade_id","buyer_user_id","seller_user_id","aggressor_side","market_phase","device_id_hash","trader_type","buyer_trader_type","seller_trader_type","price","quantity","filled_quantity","remaining_quantity","is_short_sell","order_submit_timestamp","order_cancel_timestamp","match_engine_timestamp","timestamp","tradertype"
"6-9259569087-1038","6","MATCH","SELL","TRADE_MATCH","1038","TRD-6-9670748024","1038","1092","SELL","OPEN","96AE47AF","normal","normal","normal",405.560592,6,6,0,false,1773385351703977,0,1773385351703992,"2026-03-13T07:02:31.703977Z",
"6-7716904697-1032","6","MATCH","SELL","TRADE_MATCH","1032","TRD-6-7064264778","1032","1092","SELL","OPEN","96AE47AF","normal","normal","normal",405.560592,23,23,0,false,1773385351703924,0,1773385351703940,"2026-03-13T07:02:31.703924Z",
"7-5233953736-7","7","MATCH","SELL","TRADE_MATCH","7","TRD-7-8618570704","7","1319","SELL","OPEN","615B5EA7","normal","manipulator","normal",2271.17,21,21,0,false,1773385351703847,0,1773385351703926,"2026-03-13T07:02:31.703847Z",
"15-3079816189-2823","15","MATCH","SELL","TRADE_MATCH","2823","TRD-15-1375645648","2823","2882","SELL","OPEN","3C1646DD","normal","normal","normal",68997.214127,4,4,0,false,1773385351703847,0,1773385351703870,"2026-03-13T07:02:31.703847Z",
"15-5326502789-2825","15","MATCH","SELL","TRADE_MATCH","2825","TRD-15-2843972249","2825","2882","SELL","OPEN","3C1646DD","normal","normal","normal",68997.214127,27,27,0,false,1773385351703810,0,1773385351703836,"2026-03-13T07:02:31.703810Z",
"3-8310544675-549","3","MATCH","SELL","TRADE_MATCH","549","TRD-3-4028570063","549","445","SELL","OPEN","1D39B840","normal","normal","normal",11781.147647,43,43,0,false,1773385351703769,0,1773385351703783,"2026-03-13T07:02:31.703769Z",
"3-9082756892-579","3","MATCH","SELL","TRADE_MATCH","579","TRD-3-5571716305","579","445","SELL","OPEN","1D39B840","normal","normal","normal",11823.262109,1,1,0,false,1773385351703705,0,1773385351703758,"2026-03-13T07:02:31.703705Z",
"2-5630627986-398","2","MATCH","SELL","TRADE_MATCH","398","TRD-2-7163905584","398","387","SELL","OPEN","D06453BB","normal","normal","normal",3392.485125,14,14,0,false,1773385351703658,0,1773385351703676,"2026-03-13T07:02:31.703658Z",
"14-6556369532-2616","14","MATCH","SELL","TRADE_MATCH","2616","TRD-14-9370816143","2616","2626","SELL","OPEN","E7046DC5","normal","normal","normal",84935.181389,4,4,0,false,1773385351703630,0,1773385351703818,"2026-03-13T07:02:31.703630Z",
"14-9583141582-2624","14","MATCH","SELL","TRADE_MATCH","2624","TRD-14-4091123097","2624","2626","SELL","OPEN","E7046DC5","normal","normal","normal",84935.181389,20,20,0,false,1773385351703573,0,1773385351703617,"2026-03-13T07:02:31.703573Z",
